Date,Open,Close,High,Low,Volume
2020-03-31,38.99,39.25,39.38,38.44,403334.96
2020-03-30,37.1,38.99,39.77,37.1,670747.74
2020-03-29,39.01,37.1,39.1,36.95,529496.82
2020-03-28,38.06,39.01,39.53,36.67,856353.9
2020-03-27,40.56,38.06,41.37,37.88,1189179.63
2020-03-26,39.38,40.56,40.56,38.55,588223.82
2020-03-25,40.71,39.38,41.13,38.27,980699.32
2020-03-24,39.14,40.71,41.08,38.47,1535604.59
2020-03-23,35.42,39.14,40.0,34.66,948657.82
2020-03-22,38.4,35.42,39.73,34.94,1098194.97
2020-03-21,38.13,38.4,39.84,36.29,755163.08
2020-03-20,39.11,38.13,44.0,34.16,3237476.92
2020-03-19,34.71,39.11,40.9,34.14,1696131.18
2020-03-18,34.29,34.71,34.91,32.39,1162452.6
2020-03-17,33.2,34.29,36.01,32.62,1111566.09
2020-03-16,36.35,33.2,36.35,29.24,2933850.39
2020-03-15,34.29,36.35,38.68,34.07,1309450.49
2020-03-14,37.89,34.29,37.94,33.82,936160.12
2020-03-13,30.05,37.89,40.37,25.16,8947674.84
2020-03-12,48.56,30.05,48.8,28.69,5979236.44
2020-03-11,50.12,48.56,50.72,45.58,1003154.54
2020-03-10,50.5,50.12,51.39,48.75,1041449.69
2020-03-09,50.98,50.5,52.27,46.64,2445568.56
2020-03-08,60.5,50.98,60.5,50.51,1459606.92
2020-03-07,63.39,60.5,63.95,60.2,897816.82
2020-03-06,62.08,63.39,63.85,61.31,1375785.72
2020-03-05,60.29,62.08,63.31,60.29,1251463.12
2020-03-04,60.98,60.29,61.75,58.88,851888.19
2020-03-03,61.39,60.98,62.39,59.45,1197150.89
2020-03-02,57.71,61.39,62.28,57.27,1105962.36
2020-03-01,58.13,57.71,60.2,56.2,1057643.78
2020-02-29,60.02,58.13,61.59,57.84,825222.27
2020-02-28,61.61,60.02,63.3,56.78,1887063.18
2020-02-27,60.5,61.61,65.17,57.13,2754244.59
2020-02-26,70.92,60.5,72.11,57.37,4857974.51
2020-02-25,75.69,70.92,75.99,69.39,1520495.3
2020-02-24,79.85,75.69,79.92,71.82,2183900.92
2020-02-23,75.04,79.85,80.25,74.88,2364766.39
2020-02-22,73.41,75.04,76.7,72.48,1270747.78
2020-02-21,69.48,73.41,75.38,68.65,1312465.52
2020-02-20,70.72,69.48,72.33,66.21,1837249.76
2020-02-19,77.29,70.72,79.56,67.96,3543794.46
2020-02-18,73.24,77.29,79.07,70.27,1540901.12
2020-02-17,74.73,73.24,75.44,68.73,3003579.65
2020-02-16,76.55,74.73,80.85,67.8,3773155.67
2020-02-15,83.28,76.55,83.64,75.0,4124702.34
2020-02-14,80.62,83.28,83.93,78.64,2640507.79
2020-02-13,81.22,80.62,84.38,77.07,3387210.27
2020-02-12,76.95,81.22,82.95,76.95,2972333.17
2020-02-11,74.29,76.95,77.5,72.63,1886891.89
2020-02-10,77.08,74.29,77.4,72.32,2012792.96
2020-02-09,76.77,77.08,78.4,75.18,1386889.56
2020-02-08,74.17,76.77,77.77,71.51,1885203.23
2020-02-07,73.4,74.17,75.28,72.84,1996483.79
2020-02-06,72.55,73.4,74.98,70.99,2051365.85
2020-02-05,67.88,72.55,73.35,67.53,1818729.3
2020-02-04,69.7,67.88,70.42,66.59,1420780.88
2020-02-03,69.85,69.7,73.0,68.4,2078622.1
2020-02-02,70.9,69.85,73.31,67.57,2759022.21
2020-02-01,67.76,70.9,72.74,67.58,2568437.76
2020-01-31,67.98,67.76,69.81,65.26,2536634.75
2020-01-30,59.61,67.98,70.0,58.12,4168068.15
2020-01-29,60.66,59.61,62.44,59.35,1506833.02
2020-01-28,58.5,60.66,61.39,57.3,2281908.59
2020-01-27,56.2,58.5,59.45,55.81,1220256.49
2020-01-26,53.18,56.2,56.49,52.76,719313.13
2020-01-25,54.32,53.18,54.32,52.24,846752.71
2020-01-24,54.41,54.32,55.3,50.65,1332179.77
